City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,Cape Town,-33.9258,18.4232,61.38,64,20,5.75,ZA,2022-06-15 15:44:55
91,Vila Velha,-20.3297,-40.2925,76.95,63,0,12.66,BR,2022-06-15 15:49:52
92,Castro,-24.7911,-50.0119,60.06,68,100,0.58,BR,2022-06-15 15:49:53
93,Victoria Point,-27.5833,153.3,60.44,93,59,4.79,AU,2022-06-15 15:50:53
94,Upernavik,72.7868,-56.1549,30.83,69,82,8.52,GL,2022-06-15 15:50:53
95,Hilo,19.7297,-155.09,74.28,77,20,3.44,US,2022-06-15 15:50:54
96,Dwarka,22.2394,68.9678,85.57,77,31,16.28,IN,2022-06-15 15:50:54
97,Kapaa,22.0752,-159.319,75.18,96,75,10.36,US,2022-06-15 15:50:54
98,Jurado,7.1053,-77.7641,82.04,73,54,6.38,CO,2022-06-15 15:50:55
99,Kuito,-12.3833,16.9333,80.74,57,0,6.91,AO,2022-06-15 15:50:55
100,Jacareacanga,-6.2222,-57.7528,80.64,86,40,3.31,BR,2022-06-15 15:50:55
101,Opuwo,-18.0607,13.84,73.78,18,0,4.0,NA,2022-06-15 15:50:56
102,Lafiagi,8.8667,5.4167,92.34,48,63,4.25,NG,2022-06-15 15:50:56
103,Scarborough,54.2797,-0.4044,67.33,75,100,4.0,GB,2022-06-15 15:50:56
104,Sisimiut,66.9395,-53.6735,39.43,58,12,11.77,GL,2022-06-15 15:50:57
105,Mehamn,71.0357,27.8492,44.51,92,100,12.1,NO,2022-06-15 15:50:57
106,Srednekolymsk,67.45,153.6833,55.09,44,28,7.72,RU,2022-06-15 15:50:57
107,Marienburg,54.0359,19.0266,67.12,68,61,6.35,PL,2022-06-15 15:50:58
108,Fairbanks,64.8378,-147.7164,56.3,83,75,0.0,US,2022-06-15 15:50:58
109,Plettenberg Bay,-34.0527,23.3716,50.86,76,26,9.8,ZA,2022-06-15 15:50:15
110,Glubokiy,48.5217,40.3258,67.93,65,100,3.58,RU,2022-06-15 15:50:58
111,Rairangpur,22.2676,86.1751,88.84,52,100,9.22,IN,2022-06-15 15:50:59
112,Matara,5.9485,80.5353,78.33,88,100,11.18,LK,2022-06-15 15:50:59
113,Labuhan,-6.8844,112.2051,79.45,87,80,8.19,ID,2022-06-15 15:51:00
114,Iqaluit,63.7506,-68.5145,40.73,81,75,4.61,CA,2022-06-15 15:51:00
115,Khatanga,71.9667,102.5,59.59,39,53,12.68,RU,2022-06-15 15:51:00
116,Belmonte,-15.8631,-38.8828,77.02,56,97,12.06,BR,2022-06-15 15:51:01
117,Fort Nelson,58.8053,-122.7002,56.79,62,40,4.61,CA,2022-06-15 15:51:01
118,Lorengau,-2.0226,147.2712,81.7,76,79,7.52,PG,2022-06-15 15:51:01
